komsat;jns_karantina;komoditas;satuan;harga
kayu putih/liter;T;Kayu Putih;liter;333.333
kayu putih/kemasan;T;Kayu Putih;kemasan;100.000
kayu putih/ton;T;Kayu Putih;ton;5.000.000
kayu ramin/kilogram;T;KAYU RAMIN;kilogram;20.000
kayu ramin/meter kubik;T;KAYU RAMIN;meter kubik;11.019.893
kayu recycle/kilogram;T;KAYU RECYCLE;kilogram;1.500
kayu rosewood/meter kubik;T;KAYU ROSEWOOD;meter kubik;12.000.000
kayu rosewood/ton;T;KAYU ROSEWOOD;ton;12.000.000
kayu rosewood/kilogram;T;KAYU ROSEWOOD;kilogram;12.923
kayu sapelli/bundle;T;KAYU SAPELLI;bundle;1.000.000
kayu sapelli/meter kubik;T;KAYU SAPELLI;meter kubik;10.000.000
kayu sapelli/ton;T;KAYU SAPELLI;ton;10.000.000
kayu sawo/kilogram;T;KAYU SAWO;kilogram;60.000
kayu sengon/kilogram;T;KAYU SENGON;kilogram;4.000
kayu sengon/meter kubik;T;KAYU SENGON;meter kubik;2.000.000
kayu sengon/buah/butir/batang;T;KAYU SENGON;buah/butir/batang;90.000
kayu sengon/gram;T;KAYU SENGON;gram;4
kayu sengon/ton;T;KAYU SENGON;ton;4.000.000
kayu serpihan/kilogram;T;KAYU SERPIHAN;kilogram;10.000
kayu serpihan/gram;T;KAYU SERPIHAN;gram;10
kayu serpihan/kilogram;T;KAYU SERPIHAN;kilogram per second;10.000
kayu serpihan/ton;T;KAYU SERPIHAN;ton;10.000.000
kayu shina/meter kubik;T;KAYU SHINA;meter kubik;7.689.547
kayu sonokeling/kilogram;T;Kayu Sonokeling;kilogram;35.000
kayu sonokeling/meter kubik;T;Kayu Sonokeling;meter kubik;35.000.000
kayu spruce/meter kubik;T;KAYU SPRUCE;meter kubik;8.000.000
kayu spruce/ton;T;KAYU SPRUCE;ton;8.000.000
kayu spruce/kilogram;T;KAYU SPRUCE;kilogram;8.000
kayu trembesi/kilogram;T;KAYU TREMBESI;kilogram;7.000
kayu trembesi/meter kubik;T;KAYU TREMBESI;meter kubik;7.000.000
kayu trembesi/buah/butir/batang;T;KAYU TREMBESI;buah/butir/batang;700.000
kayu ulin/meter kubik;T;KAYU ULIN;meter kubik;20.000.000
kayu veneer/kilogram;T;KAYU VENEER;kilogram;25.000
kayu veneer/meter kubik;T;KAYU VENEER;meter kubik;20.000.000
kayu walnut/meter kubik;T;KAYU WALNUT;meter kubik;18.000.000
kayu walnut/ton;T;KAYU WALNUT;ton;18.000.000
kayu waru/kilogram;T;KAYU WARU;kilogram;5.000
kayu waru/meter kubik;T;KAYU WARU;meter kubik;4.000.000
kecipir/kilogram;T;KECIPIR;kilogram;15.467
kecombrang/kilogram;T;KECOMBRANG;kilogram;15.000
kecombrang/carton;T;KECOMBRANG;carton;200.000
kecombrang/buah/butir/batang;T;KECOMBRANG;buah/butir/batang;3.500
kedelai/kilogram;T;KEDELAI;kilogram;15.000
kedelai/bag;T;KEDELAI;bag;600.000
kedelai/gram;T;KEDELAI;gram;15
kedelai/kemasan;T;KEDELAI;kemasan;30.000
kedelai/kilogram;T;KEDELAI;kilogram per second;15.000
kedelai/ton;T;KEDELAI;ton;15.000.000
kedele hitam/kilogram;T;KEDELE HITAM;kilogram;15.000
kedondong/gram;T;KEDONDONG;gram;12
kedondong/kilogram;T;KEDONDONG;kilogram;12.500
keladi tikus/kilogram;T;KELADI TIKUS;kilogram;7.550
kelapa bulat/buah/butir/batang;T;KELAPA BULAT;buah/butir/batang;12.000
kelapa bulat/peti kemas;T;KELAPA BULAT;peti kemas;90.000.000
kelapa bulat/kemasan;T;KELAPA BULAT;kemasan;200.000
kelapa bulat/bag;T;KELAPA BULAT;bag;250.000
kelapa bulat/gram;T;KELAPA BULAT;gram;5
kelapa bulat/kilogram;T;KELAPA BULAT;kilogram per second;10.000
kelapa bulat/ton;T;KELAPA BULAT;ton;10.000.000
kelapa bulat/kilogram;T;KELAPA BULAT;kilogram;10.000
kelapa bungkil/kilogram;T;KELAPA BUNGKIL;kilogram;5.000
kelapa parut/kemasan;T;KELAPA PARUT;kemasan;30.000
kelapa parut/bag;T;KELAPA PARUT;bag;350.000
kelapa parut/gram;T;KELAPA PARUT;gram;10
kelapa parut/kilogram;T;KELAPA PARUT;kilogram per second;10.000
kelapa parut/ton;T;KELAPA PARUT;ton;10.000.000
kelapa parut/kilogram;T;KELAPA PARUT;kilogram;10.000
kelapa serabut/kilogram;T;KELAPA SERABUT;kilogram;2.500
kelapa serabut/ton;T;KELAPA SERABUT;ton;2.500.000
kelapa serabut/box;T;KELAPA SERABUT;box;40.000
kelapa serabut/buah/butir/batang;T;KELAPA SERABUT;buah/butir/batang;5.000
kelapa serabut/gram;T;KELAPA SERABUT;gram;3
kelapa serabut/meter kubik;T;KELAPA SERABUT;meter kubik;600.000
kelapa tempurung/kilogram;T;KELAPA TEMPURUNG;kilogram;20.000
kelapa tempurung/buah/butir/batang;T;KELAPA TEMPURUNG;buah/butir/batang;12.000
kelapa tempurung/ton;T;KELAPA TEMPURUNG;ton;20.000.000
kelor/kilogram;T;KELOR;kilogram;25.000
kelor/liter;T;KELOR;liter;20.000
kelor/buah/butir/batang;T;KELOR;buah/butir/batang;3.000
kelor/box;T;KELOR;box;250.000
kelor/kemasan;T;KELOR;kemasan;50.000
kelor/gram;T;KELOR;gram;25
kemenyan/kilogram;T;KEMENYAN;kilogram;200.000
kemiri/kilogram;T;KEMIRI;kilogram;40.000
kemiri/carton;T;KEMIRI;carton;900.000
kemiri/kemasan;T;KEMIRI;kemasan;50.000
kemiri/gram;T;KEMIRI;gram;40
kemiri/sack;T;KEMIRI;sack;2.000.000
kemiri/ton;T;KEMIRI;ton;40.000.000
kemukus/kilogram;T;KEMUKUS;kilogram;120.000
kemukus/gram;T;KEMUKUS;gram;120
kencur/kilogram;T;KENCUR;kilogram;40.000
kencur/carton;T;KENCUR;carton;400.000
kencur/buah/butir/batang;T;KENCUR;buah/butir/batang;3.000
kencur/gram;T;KENCUR;gram;40
kentang/bag;T;KENTANG;bag;300.000
kentang/ton;T;KENTANG;ton;12.000.000
kentang/kilogram;T;KENTANG;kilogram;12.000
kentang beku/kilogram;T;KENTANG BEKU;kilogram;18.000
kentang beku/box;T;KENTANG BEKU;box;350.000
kentang iris beku/kilogram;T;KENTANG IRIS BEKU;kilogram;35.000
kentang konsumsi/kilogram;T;KENTANG KONSUMSI;kilogram;25.000
kentang konsumsi/ton;T;KENTANG KONSUMSI;ton;25.000.000
kepayang atau kluwek/kilogram;T;Kepayang atau Kluwek;kilogram;50.000
kepayang atau kluwek/meter kubik;T;Kepayang atau Kluwek;meter kubik;35.000.000
kepayang atau kluwek/carton;T;Kepayang atau Kluwek;carton;500.000
kerajinan tangan/kilogram;T;KERAJINAN TANGAN;kilogram;50.000
kerajinan tangan/meter kubik;T;KERAJINAN TANGAN;meter kubik;10.000.000
kerajinan tangan/cubic centimetre;T;KERAJINAN TANGAN;cubic centimetre;10
kerajinan tangan/ton;T;KERAJINAN TANGAN;ton;50.000.000
kertas/kilogram;T;KERTAS;kilogram;20.000
kertas/meter kubik;T;KERTAS;meter kubik;2.500.000
kertas/buah/butir/batang;T;KERTAS;buah/butir/batang;500
kertas/ton;T;KERTAS;ton;20.000.000
ketapang biji/kilogram;T;KETAPANG BIJI;kilogram;25.000
ketapang biji/buah/butir/batang;T;KETAPANG BIJI;buah/butir/batang;500
ketapang biji/gram;T;KETAPANG BIJI;gram;25
ketimun/meter kubik;T;KETIMUN;meter kubik;3.000.000
ketimun/kilogram;T;KETIMUN;kilogram;4.077
ketumbar/kilogram;T;KETUMBAR;kilogram;30.000
ketumbar/buah/butir/batang;T;KETUMBAR;buah/butir/batang;3.000
ketumbar/bag;T;KETUMBAR;bag;600.000
ketumbar/gram;T;KETUMBAR;gram;30
ketumbar/meter kubik;T;KETUMBAR;meter kubik;10.000.000
ketumbar/ton;T;KETUMBAR;ton;30.000.000
kincung/kilogram;T;KINCUNG;kilogram;15.000
kismis/kilogram;T;KISMIS;kilogram;50.000
kismis/carton;T;KISMIS;carton;1.000.000
kismis/case;T;KISMIS;case;1.000.000
kismis/ton;T;KISMIS;ton;50.000.000
kolang-kaling/kilogram;T;KOLANG-KALING;kilogram;10.000
kopi biji/kilogram;T;KOPI BIJI;kilogram;80.000
kopi biji/bag;T;KOPI BIJI;bag;3.000.000
kopi biji/box;T;KOPI BIJI;box;1.300.000
kopi biji/kemasan;T;KOPI BIJI;kemasan;100.000
kopi biji/buah/butir/batang;T;KOPI BIJI;buah/butir/batang;1.500
kopi biji/carton;T;KOPI BIJI;carton;1.500.000
kopi biji/case;T;KOPI BIJI;case;2.000.000
kopi biji/each;T;KOPI BIJI;each;1.500
kopi biji/gram;T;KOPI BIJI;gram;80
kopi biji/kilogram;T;KOPI BIJI;kilogram per second;80.000
kopi biji/meter kubik;T;KOPI BIJI;meter kubik;60.000.000
kopi biji/ton;T;KOPI BIJI;ton;80.000.000
kopi biji/kilogram;T;KOPI BIJI;Kilogram;80.000
kopi bubuk/kilogram;T;KOPI BUBUK;kilogram;100.000
kopi bubuk/ton;T;KOPI BUBUK;ton;100.000.000
kopi bubuk/box;T;KOPI BUBUK;box;1.000.000
kopi bubuk/gram;T;KOPI BUBUK;gram;100
kopi bubuk/kemasan;T;KOPI BUBUK;kemasan;25.000
kopi instan/kilogram;T;KOPI INSTAN;kilogram;120.000
kopi instan/box;T;KOPI INSTAN;box;300.000
kopi instan/case;T;KOPI INSTAN;case;2.000.000
kopi instan/gram;T;KOPI INSTAN;gram;120
kopra/kilogram;T;KOPRA;kilogram;4.000
kopra/bag;T;KOPRA;bag;400.000
kopra/ton;T;KOPRA;ton;4.000.000
kriptantus/kilogram;T;KRIPTANTUS;kilogram;20.000
kucai/buah/butir/batang;T;KUCAI;buah/butir/batang;3.000
kucai/kilogram;T;KUCAI;kilogram;25.000
kulit buah manggis/kilogram;T;Kulit Buah Manggis;kilogram;100.000
kulit buah manggis/buah/butir/batang;T;Kulit Buah Manggis;buah/butir/batang;7.000
kulit kayu/kilogram;T;KULIT KAYU;kilogram;200.000
kulit kayu/meter kubik;T;KULIT KAYU;meter kubik;10.000.000
kulit kayu/gram;T;KULIT KAYU;gram;200
kulit kayu arau/kilogram;T;KULIT KAYU ARAU;kilogram;25.000
kulit kayu arau/buah/butir/batang;T;KULIT KAYU ARAU;buah/butir/batang;100.000
kulit kayu manis/kilogram;T;KULIT KAYU MANIS;kilogram;65.000
kulit kayu manis/buah/butir/batang;T;KULIT KAYU MANIS;buah/butir/batang;15.000
kulit kayu manis/bag;T;KULIT KAYU MANIS;bag;2.500.000
kulit kayu manis/gram;T;KULIT KAYU MANIS;gram;65
kulit kayu manis/ton;T;KULIT KAYU MANIS;ton;65.000.000
kulit kayu serbuk/kilogram;T;KULIT KAYU SERBUK;kilogram;50.000
kulit kina/kilogram;T;KULIT KINA;kilogram;80.000
kulit kina/gram;T;KULIT KINA;gram;80
kumis kucing/kilogram;T;KUMIS KUCING;kilogram;50.000
kumis kucing/gram;T;KUMIS KUCING;gram;50
kunyit/kilogram;T;KUNYIT;kilogram;25.000
kunyit/carton;T;KUNYIT;carton;300.000
kunyit/bag;T;KUNYIT;bag;300.000
kunyit/box;T;KUNYIT;box;300.000
kunyit/gram;T;KUNYIT;gram;25
kunyit/kemasan;T;KUNYIT;kemasan;20.000
kunyit/kilogram;T;KUNYIT;kilogram per second;25.000
kuping gajah/kilogram;T;KUPING GAJAH;kilogram;15.000
kuping gajah/buah/butir/batang;T;KUPING GAJAH;buah/butir/batang;10.000
kuping gajah/gram;T;KUPING GAJAH;gram;15
kwaci/kilogram;T;KWACI;kilogram;35.000
kwaci/carton;T;KWACI;carton;600.000
labisia turtle/kilogram;T;LABISIA TURTLE;kilogram;80.000
labisia turtle/buah/butir/batang;T;LABISIA TURTLE;buah/butir/batang;10.000
labisia turtle/kemasan;T;LABISIA TURTLE;kemasan;25.000
labisia turtle/gram;T;LABISIA TURTLE;gram;80
labu beku/kilogram;T;LABU BEKU;kilogram;12.000
lada biji/kilogram;T;LADA BIJI;kilogram;85.000
lada biji/bag;T;LADA BIJI;bag;3.827.773
lada biji/buah/butir/batang;T;LADA BIJI;buah/butir/batang;2.000
lada biji/box;T;LADA BIJI;box;50.000
lada biji/gram;T;LADA BIJI;gram;85
lada biji/ton;T;LADA BIJI;ton;85.000.000
lada bubuk/kilogram;T;LADA BUBUK;kilogram;120.000
lada bubuk/bag;T;LADA BUBUK;bag;100.000
lada bubuk/carton;T;LADA BUBUK;carton;1.500.000
lada bubuk/gram;T;LADA BUBUK;gram;120
lada bubuk/ton;T;LADA BUBUK;ton;120.000.000
lain-lain/kilogram;T;LAIN-LAIN;kilogram;10.000
lain-lain/meter kubik;T;LAIN-LAIN;meter kubik;16.931.101
lain-lain/liter;T;LAIN-LAIN;liter;215.901
lain-lain/box;T;LAIN-LAIN;box;201.627
lain-lain/vial;T;LAIN-LAIN;vial;46.667
lain-lain/buah/butir/batang;T;LAIN-LAIN;buah/butir/batang;20.051
lain-lain/peti kemas;T;LAIN-LAIN;peti kemas;10.000
lain-lain/bag;T;LAIN-LAIN;bag;1
lain-lain/carton;T;LAIN-LAIN;carton;1
lain-lain/gram;T;LAIN-LAIN;gram;1
lain-lain/kemasan;T;LAIN-LAIN;kemasan;1
lain-lain/ton;T;LAIN-LAIN;ton;10.000.000
lamtoro gung/kilogram;T;LAMTORO GUNG;kilogram;8.000
lamtoro gung/gram;T;LAMTORO GUNG;gram;8
langsat/kilogram;T;LANGSAT;kilogram;12.500
lembaga jagung/kilogram;T;Lembaga Jagung;kilogram;8.000
lembaga jagung/gram;T;Lembaga Jagung;gram;8
lencak beku/kilogram;T;LENCAK BEKU;kilogram;29.378
lengkuas/kilogram;T;LENGKUAS;kilogram;20.000
lengkuas/carton;T;LENGKUAS;carton;409.266
lengkuas/gram;T;LENGKUAS;gram;20
liana/kilogram;T;LIANA;kilogram;12.000
licorice tepung/kilogram;T;LICORICE TEPUNG;kilogram;80.000
lidah buaya/kilogram;T;LIDAH BUAYA;kilogram;13.000
lidah buaya/buah/butir/batang;T;LIDAH BUAYA;buah/butir/batang;5.000
lidah mertua/buah/butir/batang;T;LIDAH MERTUA;buah/butir/batang;39.724
lidi/kilogram;T;LIDI;kilogram;32.707
limbah kapas/kilogram;T;LIMBAH KAPAS;kilogram;4.000
limbah kapas/ton;T;LIMBAH KAPAS;ton;4.000.000
limnophila/buah/butir/batang;T;LIMNOPHILA;buah/butir/batang;6.000
linderina rotundifolia/buah/butir/batang;T;LINDERINA ROTUNDIFOLIA;buah/butir/batang;5.000
linen/meter kubik;T;LINEN;meter kubik;350.000
linen/kilogram;T;LINEN;kilogram;350.000
lobak beku/kilogram;T;LOBAK BEKU;kilogram;16.515
lobak beku/buah/butir/batang;T;LOBAK BEKU;buah/butir/batang;16.515
lobak bungkil/kilogram;T;LOBAK BUNGKIL;kilogram;8.000
lobak cina hijau/kilogram;T;LOBAK CINA HIJAU;kilogram;12.000
lobak rebus/kilogram;T;LOBAK REBUS;kilogram;15.000
lobak rebus/buah/butir/batang;T;LOBAK REBUS;buah/butir/batang;7.000
lobelia/buah/butir/batang;T;LOBELIA;buah/butir/batang;5.997
lotus roots/carton;T;LOTUS ROOTS;carton;350.000
lotus roots/kilogram;T;LOTUS ROOTS;kilogram;35.000
ludwigia/buah/butir/batang;T;LUDWIGIA;buah/butir/batang;6.000
lumut/kilogram;T;LUMUT;kilogram;20.000
lumut/buah/butir/batang;T;LUMUT;buah/butir/batang;3.000
lumut/bag;T;LUMUT;bag;150.000
lumut/kilogram;T;LUMUT;kilogram per second;1
lysimmachi nummuliria/buah/butir/batang;T;LYSIMMACHI NUMMULIRIA;buah/butir/batang;15.000
maca/kilogram;T;MACA;kilogram;165.000
macadamia/kilogram;T;MACADAMIA;kilogram;350.000
macadamia/carton;T;MACADAMIA;carton;1
mahoni/kilogram;T;MAHONI;kilogram;40.000
mahoni/meter kubik;T;MAHONI;meter kubik;6.000.000
mahoni/cubic centimetre;T;MAHONI;cubic centimetre;6
mahoni/gram;T;MAHONI;gram;1
majakani/kilogram;T;MAJAKANI;kilogram;100.000
majakani/ton;T;MAJAKANI;ton;100.000.000
makadamia/kilogram;T;MAKADAMIA;kilogram;450.000
makanan burung kenari/buah/butir/batang;T;MAKANAN BURUNG KENARI;buah/butir/batang;20.000
makanan burung kenari/ton;T;MAKANAN BURUNG KENARI;ton;1
makanan burung kenari/kilogram;T;MAKANAN BURUNG KENARI;kilogram;30.000
makanan kering/kilogram;T;MAKANAN KERING;kilogram;100.000
makanan kuda/kilogram;T;MAKANAN KUDA;kilogram;10.000
maltodextrin/kilogram;T;Maltodextrin;kilogram;15.000
maltodextrin/gram;T;Maltodextrin;gram;1
mamey sapote/kilogram;T;MAMEY SAPOTE;kilogram;200.000
mamey sapote/buah/butir/batang;T;MAMEY SAPOTE;buah/butir/batang;40.000
mamey sapote/gram;T;MAMEY SAPOTE;gram;1
manisan kelapa/kilogram;T;MANISAN KELAPA;kilogram;40.000
marjoram/ton;T;MARJORAM;ton;130.000.000
marjoram/kilogram;T;MARJORAM;kilogram;130.000
marsilea crenata/buah/butir/batang;T;MARSILEA CRENATA;buah/butir/batang;5.000
masohi/buah/butir/batang;T;MASOHI;buah/butir/batang;25.000
masohi/kilogram;T;MASOHI;kilogram;1
matoa/kilogram;T;MATOA;kilogram;60.000
matoa/meter kubik;T;MATOA;meter kubik;2.000.000
matoa/buah/butir/batang;T;MATOA;buah/butir/batang;30.000
mayaca/buah/butir/batang;T;MAYACA;buah/butir/batang;10.000
mede biji/kilogram;T;MEDE BIJI;kilogram;120.000
media tanam/serbuk kelapa/kilogram;T;MEDIA TANAM/SERBUK KELAPA;kilogram;5.000
media tanam/serbuk kelapa/box;T;MEDIA TANAM/SERBUK KELAPA;box;20.000
media tanam/serbuk kelapa/gram;T;MEDIA TANAM/SERBUK KELAPA;gram;1
media tanam/serbuk kelapa/kemasan;T;MEDIA TANAM/SERBUK KELAPA;kemasan;1
media tanam/serbuk kelapa/ton;T;MEDIA TANAM/SERBUK KELAPA;ton;1
media tanaman/kilogram;T;MEDIA TANAMAN;kilogram;30.000
media tanaman/buah/butir/batang;T;MEDIA TANAMAN;buah/butir/batang;20.000
media tanaman/liter;T;MEDIA TANAMAN;liter;1
media tanaman/box;T;MEDIA TANAMAN;box;20.000
melinjo beku/kilogram;T;MELINJO BEKU;kilogram;20.000
melinjo biji/kilogram;T;MELINJO BIJI;kilogram;30.000
melinjo biji/gram;T;MELINJO BIJI;gram;1
mendong/meter kubik;T;MENDONG;meter kubik;150.000
mengkudu/kilogram;T;MENGKUDU;kilogram;12.000
microsorium/buah/butir/batang;T;MICROSORIUM;buah/butir/batang;20.000
mie/kilogram;T;MIE;kilogram;18.000
mie/meter kubik;T;MIE;meter kubik;3.500.000
millet/ton;T;MILLET;ton;8.000.000
millet/kilogram;T;MILLET;kilogram;10.000
mini amazon sword/buah/butir/batang;T;MINI AMAZON SWORD;buah/butir/batang;5.000
minyak jarak/kilogram;T;MINYAK JARAK;kilogram;70.000
minyak kedelai/kilogram;T;MINYAK KEDELAI;kilogram;35.000
minyak kelapa/kilogram;T;MINYAK KELAPA;kilogram;30.000
minyak kelapa/liter;T;MINYAK KELAPA;liter;30.000
minyak kelapa/ton;T;MINYAK KELAPA;ton;20.000.000
minyak kelapa mentah/kilogram;T;MINYAK KELAPA MENTAH;kilogram;22.000
minyak kelapa mentah/ton;T;MINYAK KELAPA MENTAH;ton;22.000.000
minyak kulit mete/kilogram;T;Minyak Kulit Mete;kilogram;15.000
minyak nilam/kilogram;T;MINYAK NILAM;kilogram;900.000
minyak nilam/liter;T;MINYAK NILAM;liter;1.500.000
minyak nilam/buah/butir/batang;T;MINYAK NILAM;buah/butir/batang;20.000
minyak nilam/botol;T;MINYAK NILAM;botol;600.000
minyak sawit/kilogram;T;MINYAK SAWIT;kilogram;15.500
minyak sawit/gram;T;MINYAK SAWIT;gram;1
minyak sawit/peti kemas;T;MINYAK SAWIT;peti kemas;1
minyak sawit/ton;T;MINYAK SAWIT;ton;15.000.000
minyak sawit mentah/kilogram;T;MINYAK SAWIT MENTAH;kilogram;16.000
minyak sawit mentah/ton;T;MINYAK SAWIT MENTAH;ton;16.000.000
minyak sayur/kilogram;T;MINYAK SAYUR;kilogram;18.000
minyak sayur/liter;T;MINYAK SAYUR;liter;20.000
monstera varigata/box;T;MONSTERA VARIGATA;box;100.000
monstera varigata/buah/butir/batang;T;MONSTERA VARIGATA;buah/butir/batang;50.000
moulding/meter kubik;T;MOULDING;meter kubik;3.000.000
myriphyllum/buah/butir/batang;T;MYRIPHYLLUM;buah/butir/batang;4.100
nektarin/buah/butir/batang;T;NEKTARIN;buah/butir/batang;15.000
nektarin/kilogram;T;NEKTARIN;kilogram;150.000
nenas irisan/kilogram;T;NENAS IRISAN;kilogram;20.000
nenas sirup/kilogram;T;NENAS SIRUP;kilogram;45.000
nhympea spred lotus/kilogram;T;NHYMPEA SPRED LOTUS;kilogram;20.000
niger biji/ton;T;NIGER BIJI;ton;20.000.000
niger biji/kilogram;T;NIGER BIJI;kilogram;20.000
nipah/kilogram;T;NIPAH;kilogram;30.000
nipah/buah/butir/batang;T;NIPAH;buah/butir/batang;15.000
nipah/meter kubik;T;NIPAH;meter kubik;8.355
nomaphila/buah/butir/batang;T;NOMAPHILA;buah/butir/batang;3.813
none/kilogram;T;NONE;kilogram;1
nuphur sagittiforium/buah/butir/batang;T;NUPHUR SAGITTIFORIUM;buah/butir/batang;4.140
oats/bag;T;OATS;bag;1
oats/kilogram;T;OATS;kilogram of phosphorus pentoxide (phosphoric anhydride);1
oats/kilogram;T;OATS;kilogram per kilogram;1
oats/kilogram;T;OATS;kilogram per second;1
oats/ton;T;OATS;ton;14.800.000
oats/kilogram;T;OATS;kilogram;50.000
oil palm kernel/kilogram;T;OIL PALM KERNEL;kilogram;22.000
oil palm kernel/bag;T;OIL PALM KERNEL;bag;1
oil palm kernel/ton;T;OIL PALM KERNEL;ton;12.000.000
okra/kilogram;T;OKRA;kilogram;25.000
onion powder/bag;T;ONION POWDER;bag;1
onion powder/carton;T;ONION POWDER;carton;1
onion powder/kilogram;T;ONION POWDER;kilogram per second;1
onion powder/ton;T;ONION POWDER;ton;20.000.000
onion powder/kilogram;T;ONION POWDER;kilogram;50.000
ophiopogon/buah/butir/batang;T;OPHIOPOGON;buah/butir/batang;7.000
oregano/kilogram;T;OREGANO;kilogram;77.000
oregano/bag;T;OREGANO;bag;1
oregano/kemasan;T;OREGANO;kemasan;1
oregano/ton;T;OREGANO;ton;1
ornamental plants/kilogram;T;ORNAMENTAL PLANTS;kilogram;300.000
ornamental plants/buah/butir/batang;T;ORNAMENTAL PLANTS;buah/butir/batang;37.919
ornamental plants/bag;T;ORNAMENTAL PLANTS;bag;1
ornamental plants/gram;T;ORNAMENTAL PLANTS;gram;1
oxypetalum/buah/butir/batang;T;OXYPETALUM;buah/butir/batang;1
oxypetalum/kilogram;T;OXYPETALUM;kilogram;1
pachira/buah/butir/batang;T;PACHIRA;buah/butir/batang;57.250
pakan burung/buah/butir/batang;T;PAKAN BURUNG;buah/butir/batang;5.882
pakan burung/bulk;T;PAKAN BURUNG;bulk;1
pakan burung/ton;T;PAKAN BURUNG;ton;1
pakan burung/kilogram;T;PAKAN BURUNG;kilogram;1
pakan ternak/kilogram;T;Pakan Ternak;kilogram;14.177
pakan ternak/bag;T;Pakan Ternak;bag;1
pakan ternak/ton;T;Pakan Ternak;ton;1
pakis/kilogram;T;PAKIS;kilogram;16.627
pakis/buah/butir/batang;T;PAKIS;buah/butir/batang;22.480
pakuan tanduk rusa/buah/butir/batang;T;PAKUAN TANDUK RUSA;buah/butir/batang;106.267
pakuan tanduk rusa/box;T;PAKUAN TANDUK RUSA;box;1
pala biji/kilogram;T;PALA BIJI;kilogram;150.000
pala biji/meter kubik;T;PALA BIJI;meter kubik;300.000
pala biji/box;T;PALA BIJI;box;200.000
pala biji/bag;T;PALA BIJI;bag;16.705
pala biji/gram;T;PALA BIJI;gram;1
pala biji/kilogram;T;PALA BIJI;kilogram of phosphorus pentoxide (phosphoric anhydride);1
pala biji/ton;T;PALA BIJI;ton;1
pala bubuk/kilogram;T;PALA BUBUK;kilogram;92.462
pala bubuk/gram;T;PALA BUBUK;gram;1
palem/kilogram;T;PALEM;kilogram;105.284
palem/meter kubik;T;PALEM;meter kubik;1.500.000
palem/buah/butir/batang;T;PALEM;buah/butir/batang;300.000
palem/gram;T;PALEM;gram;1
pallet/kilogram;T;PALLET;kilogram;10.417
pallet/meter kubik;T;PALLET;meter kubik;150.000
pallet/kemasan;T;PALLET;kemasan;100.000
pallet/box;T;PALLET;box;1
pallet/buah/butir/batang;T;PALLET;buah/butir/batang;1
pallet/bulk;T;PALLET;bulk;1
pallet/lembar;T;PALLET;lembar;1
pallet/set;T;PALLET;set;1
pallet/ton;T;PALLET;ton;1
palm kernel expeller/gram;T;PALM KERNEL EXPELLER;gram;6
palm kernel expeller/ton;T;PALM KERNEL EXPELLER;ton;2.000.000
palm kernel expeller/kilogram;T;PALM KERNEL EXPELLER;kilogram;6.000
palm kernel meal/buah/butir/batang;T;PALM KERNEL MEAL;buah/butir/batang;75.000
palm kernel meal/ton;T;PALM KERNEL MEAL;ton;1.600.000
palm kernel meal/kilogram;T;PALM KERNEL MEAL;kilogram;3.700
palm kernel oil/kilogram;T;PALM KERNEL OIL;kilogram;22.000
palm kernel oil/ton;T;PALM KERNEL OIL;ton;14.700.000
palm kernel olein/kilogram;T;PALM KERNEL OLEIN;kilogram;27.000
palm kernel olein/ton;T;PALM KERNEL OLEIN;ton;23.700.000
palm kernel stearin/kilogram;T;PALM KERNEL STEARIN;kilogram;20.000
palm kernel stearin/ton;T;PALM KERNEL STEARIN;ton;20.000.000
pampas grass/buah/butir/batang;T;PAMPAS GRASS;buah/butir/batang;27.500
pampas grass/kilogram;T;PAMPAS GRASS;kilogram;400.000
pandan/kilogram;T;PANDAN;kilogram;20.000
pandan/meter kubik;T;PANDAN;meter kubik;1.000.000
pandan/buah/butir/batang;T;PANDAN;buah/butir/batang;10.000
pandan/gram;T;PANDAN;gram;1
paprika/kilogram;T;PAPRIKA;kilogram;38.553
paprika/bag;T;PAPRIKA;bag;1
paprika/carton;T;PAPRIKA;carton;1
paprika/ton;T;PAPRIKA;ton;1
parsley/kilogram;T;PARSLEY;kilogram;13.333
parsley/bag;T;PARSLEY;bag;1
parsley/buah/butir/batang;T;PARSLEY;buah/butir/batang;1
parsley/kemasan;T;PARSLEY;kemasan;1
parsley/ton;T;PARSLEY;ton;1
parsnip/kilogram;T;PARSNIP;kilogram;1
peat/kilogram;T;PEAT;kilogram;1
pecan/meter kubik;T;PECAN;meter kubik;793
pecan/kilogram;T;PECAN;kilogram;716
pekawai/kilogram;T;PEKAWAI;kilogram;7.909
perabot rotan/kilogram;T;PERABOT ROTAN;kilogram;391.319
perabot rotan/meter kubik;T;PERABOT ROTAN;meter kubik;6.000.000
perabot rotan/buah/butir/batang;T;PERABOT ROTAN;buah/butir/batang;1.706.473
perabot rotan/kemasan;T;PERABOT ROTAN;kemasan;179.507
perabot rotan/cubic centimetre;T;PERABOT ROTAN;cubic centimetre;138
perabot rotan/box;T;PERABOT ROTAN;box;1
perabot rotan/gram;T;PERABOT ROTAN;gram;1
perabot rotan/kit;T;PERABOT ROTAN;kit;1
perabotan kayu/kilogram;T;PERABOTAN KAYU;kilogram;89.394
perabotan kayu/meter kubik;T;PERABOTAN KAYU;meter kubik;970.000
perabotan kayu/meter persegi;T;PERABOTAN KAYU;meter persegi;8.675.312
